time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
351.0,-1025_0,0.0067270923947275,0.0,1,6.160073540592568,1
349.0,-1154_0,0.010624920373625,0.0,1,5.567987267814912,1
359.0,60_0,0.0201248062267396,0.0,1,2.901890045583136,1
200.0,148_0,0.0229289893930536,0.0,1,7.795161932964138,1
194.0,-5_0,0.0254257086237983,0.0,1,8.226647014961205,1
50.0,-184_0,0.0257715669246321,0.0,1,5.743217041059792,1
132.0,184_0,0.0269290008824359,0.0,1,5.690327557834722,1
153.0,-340_0,0.0278299918201124,0.0,1,2.951147387625218,1
731.0,-1000_0,0.0298655673063655,0.0,1,3.31864861565873,1
1444.0,71_0,0.038550501156515,0.0,1,12.83550803645862,1
282.0,-68_0,0.0387056819941167,0.0,1,12.071251634777822,1
189.0,-219_0,0.0390015600624025,13.708555324724898,1,0.0,1
206.0,-219_0,0.0390015600624025,0.0,1,12.294105965592998,1
538.0,5_0,0.0462165321150645,0.0,1,6.781454421598233,1
541.0,-1597_0,0.0496116890280066,0.0,1,6.062583675428815,1
182.0,148_0,0.0530335171828595,10.397352305762723,1,0.0,1
189.0,148_0,0.0530335171828595,14.048428156869065,1,0.0,1
190.0,148_0,0.0530335171828595,10.236101898101529,1,0.0,1
181.0,148_0,0.0530335171828595,14.897352305762723,1,0.0,1
760.0,1934_0,0.0538793103448275,14.782696244318483,1,0.0,1
130.0,184_0,0.0563507269243773,9.605368017192411,1,0.0,1
131.0,184_0,0.0563507269243773,5.130744496450238,1,0.0,1
311.0,43_0,0.0566443865412937,1.8396214622410167,1,0.0,1
342.0,27_0,0.0566443865412937,0.0,1,12.166028338330284,1
363.0,27_0,0.0566443865412937,14.454288381935,1,0.0,1
141.0,-340_0,0.0571167466301119,0.7921326496291852,1,0.0,1
143.0,-340_0,0.0571167466301119,0.0887142399623966,1,0.0,1
139.0,-340_0,0.0571167466301119,5.148086444738456,1,0.0,1
142.0,-340_0,0.0571167466301119,0.1894416111833147,1,0.0,1
140.0,-340_0,0.0571167466301119,4.449837424089418,1,0.0,1
517.0,-1758_0,0.057372346528973,0.0,1,13.147230456342506,1
541.0,-1758_0,0.057372346528973,11.658088358398444,1,0.0,1
540.0,-1758_0,0.057372346528973,15.793470945904044,1,0.0,1
365.0,-79_0,0.0576042028927146,0.0,2,2.374133601922736,1
525.0,-1597_0,0.0583839327417094,12.332539371770247,1,0.0,1
537.0,-1597_0,0.0583839327417094,8.86314768378119,1,0.0,1
536.0,-1597_0,0.0583839327417094,12.951255243401592,1,0.0,1
545.0,5_0,0.058411214953271,6.965933686492074,1,0.0,1
323.0,-1154_0,0.058411214953271,15.134190356449366,1,0.0,1
544.0,5_0,0.058411214953271,11.465933686492074,1,0.0,1
322.0,-1154_0,0.058411214953271,14.56239052535701,1,0.0,1
542.0,-1758_0,0.058964334387764,0.0,1,13.099168828332605,1
127.0,-340_0,0.0592597620166177,0.0,2,3.6038712858335007,1
202.0,148_0,0.0602664617914754,0.0,2,8.499530609519034,1
129.0,184_0,0.0615650808716073,10.56805491342224,1,0.0,1
257.0,-58_0,0.0620616309421579,0.0321886820113381,1,0.0,1
256.0,-58_0,0.0621127546479968,0.0991272769526772,1,0.0,1
255.0,-58_0,0.0623483400650972,0.2663440339661627,1,0.0,1
254.0,-58_0,0.0627814463643566,0.5188864645286373,1,0.0,1
53.0,-229_0,0.0631030801571841,0.0,2,3.8639827061747374,1
135.0,184_0,0.0635375264099476,0.0,2,4.412776773287766,1
